আফ্রিকা	Afrique
বিষয়শ্রেণী:৫৫৫-এ মৃত্যু	Catégorie:Décès en 555
বিষয়শ্রেণী:৫৫৭	Catégorie:557
বিষয়শ্রেণী:৫৫৭-এ মৃত্যু	Catégorie:Décès en 557
বিষয়শ্রেণী:৫৫৮-এ জন্ম	Catégorie:Naissance en 558
বিষয়শ্রেণী:৫৫৯	Catégorie:559
প্রবেশদ্বার:ফুটবল	Portail:Football
বিষয়শ্রেণী:৫৬০-এ জন্ম	Catégorie:Naissance en 560
বিষয়শ্রেণী:৫৬১	Catégorie:561
বিষয়শ্রেণী:৫৬১-এ মৃত্যু	Catégorie:Décès en 561
বিষয়শ্রেণী:৫৬২-এ জন্ম	Catégorie:Naissance en 562
বিষয়শ্রেণী:৫৬৩	Catégorie:563
বিষয়শ্রেণী:৫৬৫	Catégorie:565
বিষয়শ্রেণী:৫৬৫-এ মৃত্যু	Catégorie:Décès en 565
বিষয়শ্রেণী:৫৬৬-এ জন্ম	Catégorie:Naissance en 566
বিষয়শ্রেণী:৫৬৭	Catégorie:567
বিষয়শ্রেণী:৫৬৭-এ মৃত্যু	Catégorie:Décès en 567
বিষয়শ্রেণী:৫৬৯	Catégorie:569
বিষয়শ্রেণী:৫৭০	Catégorie:570
বিষয়শ্রেণী:৫৭০-এ মৃত্যু	Catégorie:Décès en 570
বিষয়শ্রেণী:৫৭১-এ জন্ম	Catégorie:Naissance en 571
বিষয়শ্রেণী:৫৭২	Catégorie:572
বিষয়শ্রেণী:৫৭২-এ মৃত্যু	Catégorie:Décès en 572
বিষয়শ্রেণী:৫৭৪	Catégorie:574
বিষয়শ্রেণী:৫৭৪-এ মৃত্যু	Catégorie:Décès en 574
বিষয়শ্রেণী:৫৭৫-এ মৃত্যু	Catégorie:Décès en 575
বিষয়শ্রেণী:৫৭৬-এ জন্ম	Catégorie:Naissance en 576
বিষয়শ্রেণী:৫৭৭	Catégorie:577
বিষয়শ্রেণী:৫৭৭-এ মৃত্যু	Catégorie:Décès en 577
বিষয়শ্রেণী:৫৭৯	Catégorie:579
টেমপ্লেট:Start date and age	Modèle:Existe depuis
বিষয়শ্রেণী:৫৭৯-এ মৃত্যু	Catégorie:Décès en 579
বিষয়শ্রেণী:৫৮০-এ জন্ম	Catégorie:Naissance en 580
বিষয়শ্রেণী:৫৮১	Catégorie:581
বিষয়শ্রেণী:৫৮১-এ মৃত্যু	Catégorie:Décès en 581
বিষয়শ্রেণী:৫৮২-এ জন্ম	Catégorie:Naissance en 582
বিষয়শ্রেণী:৫৮৩	Catégorie:583
বিষয়শ্রেণী:৫৮৩-এ মৃত্যু	Catégorie:Décès en 583
বিষয়শ্রেণী:৫৮৪-এ জন্ম	Catégorie:Naissance en 584
বিষয়শ্রেণী:৫৮৪-এ মৃত্যু	Catégorie:Décès en 584
বিষয়শ্রেণী:৫৮৫-এ জন্ম	Catégorie:Naissance en 585
বিষয়শ্রেণী:৫৮৬	Catégorie:586
বিষয়শ্রেণী:৫৮৬-এ মৃত্যু	Catégorie:Décès en 586
বিষয়শ্রেণী:৫৮৭-এ জন্ম	Catégorie:Naissance en 587
বিষয়শ্রেণী:৫৮৮	Catégorie:588
বিষয়শ্রেণী:৫৮৮-এ মৃত্যু	Catégorie:Décès en 588
বিষয়শ্রেণী:৫৯০	Catégorie:590
বিষয়শ্রেণী:৫৯০-এ মৃত্যু	Catégorie:Décès en 590
বিষয়শ্রেণী:৫৯১-এ মৃত্যু	Catégorie:Décès en 591
বিষয়শ্রেণী:৫৯২-এ জন্ম	Catégorie:Naissance en 592
বিষয়শ্রেণী:৫৯৩	Catégorie:593
বিষয়শ্রেণী:৫৯৩-এ মৃত্যু	Catégorie:Décès en 593
বিষয়শ্রেণী:৫৯৪-এ জন্ম	Catégorie:Naissance en 594
বিষয়শ্রেণী:৫৯৫	Catégorie:595
বিষয়শ্রেণী:৫৯৫-এ মৃত্যু	Catégorie:Décès en 595
বিষয়শ্রেণী:৫৯৭	Catégorie:597
বিষয়শ্রেণী:৫৯৭-এ মৃত্যু	Catégorie:Décès en 597
বিষয়শ্রেণী:৫৯৮-এ জন্ম	Catégorie:Naissance en 598
বিষয়শ্রেণী:৫৯৯-এ মৃত্যু	Catégorie:Décès en 599
বিষয়শ্রেণী:৬০০	Catégorie:600
বিষয়শ্রেণী:৬০২	Catégorie:602
বিষয়শ্রেণী:৬০২-এ মৃত্যু	Catégorie:Décès en 602
বিষয়শ্রেণী:৬০৩-এ মৃত্যু	Catégorie:Décès en 603
বিষয়শ্রেণী:৬০৪-এ জন্ম	Catégorie:Naissance en 604
বিষয়শ্রেণী:৬০৫-এ জন্ম	Catégorie:Naissance en 605
বিষয়শ্রেণী:৬০৬	Catégorie:606
বিষয়শ্রেণী:৬০৬-এ মৃত্যু	Catégorie:Décès en 606
বিষয়শ্রেণী:৬০৮	Catégorie:608
বিষয়শ্রেণী:৬০৮-এ মৃত্যু	Catégorie:Décès en 608
বিষয়শ্রেণী:৬১০	Catégorie:610
বিষয়শ্রেণী:৬১০-এ মৃত্যু	Catégorie:Décès en 610
বিষয়শ্রেণী:৬১২	Catégorie:612
বিষয়শ্রেণী:৬১২-এ মৃত্যু	Catégorie:Décès en 612
বিষয়শ্রেণী:৬১৩-এ জন্ম	Catégorie:Naissance en 613
বিষয়শ্রেণী:৬১৪	Catégorie:614
বিষয়শ্রেণী:৬১৪-এ মৃত্যু	Catégorie:Décès en 614
বিষয়শ্রেণী:৬১৬	Catégorie:616
বিষয়শ্রেণী:৬১৬-এ মৃত্যু	Catégorie:Décès en 616
বিষয়শ্রেণী:৬১৭-এ জন্ম	Catégorie:Naissance en 617
বিষয়শ্রেণী:৬১৮	Catégorie:618
বিষয়শ্রেণী:৬১৯	Catégorie:619
বিষয়শ্রেণী:৬২০	Catégorie:620
বিষয়শ্রেণী:৬২০-এ মৃত্যু	Catégorie:Décès en 620
বিষয়শ্রেণী:৬২২	Catégorie:622
বিষয়শ্রেণী:৬২২-এ মৃত্যু	Catégorie:Décès en 622
বিষয়শ্রেণী:৬২৩-এ জন্ম	Catégorie:Naissance en 623
বিষয়শ্রেণী:৬২৪	Catégorie:624
বিষয়শ্রেণী:৬২৪-এ মৃত্যু	Catégorie:Décès en 624
বিষয়শ্রেণী:৬২৫-এ জন্ম	Catégorie:Naissance en 625
বিষয়শ্রেণী:৬২৬	Catégorie:626
বিষয়শ্রেণী:৬২৭	Catégorie:627
বিষয়শ্রেণী:৬২৭-এ মৃত্যু	Catégorie:Décès en 627
বিষয়শ্রেণী:১৯০৭-এ মৃত্যু	Catégorie:Décès en 1907
বিষয়শ্রেণী:৬২৮-এ জন্ম	Catégorie:Naissance en 628
বিষয়শ্রেণী:৬২৯	Catégorie:629
বিষয়শ্রেণী:৬২৯-এ মৃত্যু	Catégorie:Décès en 629
বিষয়শ্রেণী:৬৩০-এ জন্ম	Catégorie:Naissance en 630
বিষয়শ্রেণী:৬৩১	Catégorie:631
বিষয়শ্রেণী:৬৩১-এ মৃত্যু	Catégorie:Décès en 631
বিষয়শ্রেণী:১৯৭০-এ জন্ম	Catégorie:Naissance en 1970
বিষয়শ্রেণী:৬৩২-এ জন্ম	Catégorie:Naissance en 632
বিষয়শ্রেণী:১৯৮০-এ মৃত্যু	Catégorie:Décès en 1980
বিষয়শ্রেণী:২০০৮-এ মৃত্যু	Catégorie:Décès en 2008
বিষয়শ্রেণী:৬৩৩	Catégorie:633
বিষয়শ্রেণী:৬৩৩-এ মৃত্যু	Catégorie:Décès en 633
বিষয়শ্রেণী:১৯৮৬-এ মৃত্যু	Catégorie:Décès en 1986
বিষয়শ্রেণী:১৯৬৬-এ মৃত্যু	Catégorie:Décès en 1966
বিষয়শ্রেণী:৬৩৪-এ জন্ম	Catégorie:Naissance en 634
বিষয়শ্রেণী:১৯৪৬-এ মৃত্যু	Catégorie:Décès en 1946
বিষয়শ্রেণী:১৯৩৮-এ মৃত্যু	Catégorie:Décès en 1938
বিষয়শ্রেণী:১৯৮৪-এ জন্ম	Catégorie:Naissance en 1984
বিষয়শ্রেণী:৬৩৭	Catégorie:637
বিষয়শ্রেণী:১৯৬২-এ মৃত্যু	Catégorie:Décès en 1962
বিষয়শ্রেণী:৬৩৭-এ মৃত্যু	Catégorie:Décès en 637
বিষয়শ্রেণী:১৯৫৯-এ মৃত্যু	Catégorie:Décès en 1959
বিষয়শ্রেণী:৬৩৮-এ জন্ম	Catégorie:Naissance en 638
বিষয়শ্রেণী:১৯৪৩-এ মৃত্যু	Catégorie:Décès en 1943
বিষয়শ্রেণী:৬৩৯	Catégorie:639
বিষয়শ্রেণী:১৯৯০-এ জন্ম	Catégorie:Naissance en 1990
বিষয়শ্রেণী:৬৩৯-এ মৃত্যু	Catégorie:Décès en 639
বিষয়শ্রেণী:১৯৩৪-এ মৃত্যু	Catégorie:Décès en 1934
বিষয়শ্রেণী:৬৪০-এ জন্ম	Catégorie:Naissance en 640
বিষয়শ্রেণী:১৯৪৯-এ মৃত্যু	Catégorie:Décès en 1949
বিষয়শ্রেণী:৬৪১	Catégorie:641
বিষয়শ্রেণী:৬৪১-এ মৃত্যু	Catégorie:Décès en 641
বিষয়শ্রেণী:১৯৭৪-এ জন্ম	Catégorie:Naissance en 1974
বিষয়শ্রেণী:৬৪২	Catégorie:642
বিষয়শ্রেণী:১৯৪৭-এ মৃত্যু	Catégorie:Décès en 1947
বিষয়শ্রেণী:১৯১১-এ মৃত্যু	Catégorie:Décès en 1911
বিষয়শ্রেণী:৬৪৩	Catégorie:643
বিষয়শ্রেণী:১৯০৩-এ মৃত্যু	Catégorie:Décès en 1903
বিষয়শ্রেণী:৬৪৩-এ মৃত্যু	Catégorie:Décès en 643
বিষয়শ্রেণী:৬৪৫	Catégorie:645
বিষয়শ্রেণী:২০০৭-এ মৃত্যু	Catégorie:Décès en 2007
বিষয়শ্রেণী:৬৪৫-এ মৃত্যু	Catégorie:Décès en 645
বিষয়শ্রেণী:৬৪৬-এ জন্ম	Catégorie:Naissance en 646
বিষয়শ্রেণী:৬৪৭	Catégorie:647
বিষয়শ্রেণী:১৯৬৫-এ জন্ম	Catégorie:Naissance en 1965
বিষয়শ্রেণী:১৯৪০-এ জন্ম	Catégorie:Naissance en 1940
বিষয়শ্রেণী:৬৪৭-এ মৃত্যু	Catégorie:Décès en 647
বিষয়শ্রেণী:১৮৯৮-এ জন্ম	Catégorie:Naissance en 1898
বিষয়শ্রেণী:১৮৬৩-এ জন্ম	Catégorie:Naissance en 1863
বিষয়শ্রেণী:৬৪৯	Catégorie:649
বিষয়শ্রেণী:১৮৬৭-এ জন্ম	Catégorie:Naissance en 1867
বিষয়শ্রেণী:৬৪৯-এ মৃত্যু	Catégorie:Décès en 649
বিষয়শ্রেণী:১৮৭১-এ জন্ম	Catégorie:Naissance en 1871
বিষয়শ্রেণী:১৮৬২-এ জন্ম	Catégorie:Naissance en 1862
বিষয়শ্রেণী:৬৫০-এ জন্ম	Catégorie:Naissance en 650
বিষয়শ্রেণী:৬৫১	Catégorie:651
বিষয়শ্রেণী:১৯৭৭-এ জন্ম	Catégorie:Naissance en 1977
বিষয়শ্রেণী:৬৫১-এ মৃত্যু	Catégorie:Décès en 651
বিষয়শ্রেণী:১৮৪৫	Catégorie:1845
বিষয়শ্রেণী:৬৫২-এ জন্ম	Catégorie:Naissance en 652
বিষয়শ্রেণী:১৮৯৯-এ জন্ম	Catégorie:Naissance en 1899
বিষয়শ্রেণী:৬৫৩	Catégorie:653
বিষয়শ্রেণী:১৮৪৪	Catégorie:1844
বিষয়শ্রেণী:৬৫৩-এ মৃত্যু	Catégorie:Décès en 653
বিষয়শ্রেণী:৬৫৪-এ জন্ম	Catégorie:Naissance en 654
বিষয়শ্রেণী:৬৫৫	Catégorie:655
বিষয়শ্রেণী:৬৫৫-এ মৃত্যু	Catégorie:Décès en 655
বিষয়শ্রেণী:শতাব্দী অনুযায়ী লেখক	Catégorie:Écrivain par siècle
বিষয়শ্রেণী:৬৫৬-এ জন্ম	Catégorie:Naissance en 656
বিষয়শ্রেণী:৬৫৭	Catégorie:657
বিষয়শ্রেণী:৬৫৭-এ মৃত্যু	Catégorie:Décès en 657
বিষয়শ্রেণী:৬৫৮-এ জন্ম	Catégorie:Naissance en 658
বিষয়শ্রেণী:৬৫৯	Catégorie:659
বিষয়শ্রেণী:৬৫৯-এ মৃত্যু	Catégorie:Décès en 659
বিষয়শ্রেণী:৬৬০-এ জন্ম	Catégorie:Naissance en 660
বিষয়শ্রেণী:৬৬১-এ জন্ম	Catégorie:Naissance en 661
বিষয়শ্রেণী:৬৬২	Catégorie:662
বিষয়শ্রেণী:১৯৩১-এ জন্ম	Catégorie:Naissance en 1931
বিষয়শ্রেণী:৬৬২-এ মৃত্যু	Catégorie:Décès en 662
বিষয়শ্রেণী:৬৬৩-এ জন্ম	Catégorie:Naissance en 663
বিষয়শ্রেণী:১৯১৫-এ জন্ম	Catégorie:Naissance en 1915
বিষয়শ্রেণী:৬৬৪	Catégorie:664
বিষয়শ্রেণী:১৯২৯-এ জন্ম	Catégorie:Naissance en 1929
বিষয়শ্রেণী:৬৬৪-এ মৃত্যু	Catégorie:Décès en 664
বিষয়শ্রেণী:৬৬৫-এ জন্ম	Catégorie:Naissance en 665
